Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.868,0.8421052631578947,0.43243243243243246,0.5714285714285714,0.8632361174734056
Baseline ANN,0.863,0.8151658767772512,0.4226044226044226,0.5566343042071198,0.8583498752990277
KerasTuner-Tuned ANN,0.8585,0.806930693069307,0.4004914004914005,0.535303776683087,0.8573581285445693
Logistic Regression,0.814,0.6158940397350994,0.2285012285012285,0.3333333333333333,0.782341663697596
